Stock Code,Name of Securities,Category,Sub-Category,Board Lot,Par Value,ISIN,Expiry Date,Subject to Stamp Duty,Shortsell Eligible,CAS Eligible,VCM Eligible,Admitted to Stock Options,Admitted to Stock Futures,Admitted to CCASS,ETF / Fund Manager,Debt Securities Board Lot (Nominal),Debt Securities Investor Type,POS Eligble,"Spread Table
1, 4 = Part A
3 = Part B
5 = Part D"
66339,VT#CMB  RP2305B,Callable Bull/Bear Contracts,,"5,000",,CH1206718673,05/05/2023,,,,,,,Y,,,,,1
66346,VT#KUASORP2304A,Callable Bull/Bear Contracts,,"1,000",,CH1206718657,28/04/2023,,,,,,,Y,,,,,1
66360,BI#MTUANRC2306A,Callable Bull/Bear Contracts,,"5,000",,HK0000874997,30/06/2023,,,,,,,Y,,,,,1
66387,JP#TENCTRP2302B,Callable Bull/Bear Contracts,,"5,000",,NLJPMSP0FOW2,10/02/2023,,,,,,,Y,,,,,1
66389,BP#ALIBARP2212F,Callable Bull/Bear Contracts,,"50,000",,NLBNPHK130U8,29/12/2022,,,,,,,Y,,,,,1
66397,JP#HSI  RP2210E,Callable Bull/Bear Contracts,,"10,000",,NLJPMSP0GKF3,28/10/2022,,,,,,,Y,,,,,1
66410,CS#HSI  RP2302C,Callable Bull/Bear Contracts,,"10,000",,CH1203339275,27/02/2023,,,,,,,Y,,,,,1
66414,CS#CSHCLRP2212B,Callable Bull/Bear Contracts,,"2,500",,CH1155184828,29/12/2022,,,,,,,Y,,,,,1
66427,UB#HSI  RP2303J,Callable Bull/Bear Contracts,,"10,000",,CH1195707653,30/03/2023,,,,,,,Y,,,,,1
66443,UB#HSI  RP2303K,Callable Bull/Bear Contracts,,"10,000",,CH1195707695,30/03/2023,,,,,,,Y,,,,,1
66445,UB#HKEX RP2306D,Callable Bull/Bear Contracts,,"5,000",,CH1195707661,20/06/2023,,,,,,,Y,,,,,1
66466,BI#XIAMIRP2212D,Callable Bull/Bear Contracts,,"10,000",,HK0000815164,29/12/2022,,,,,,,Y,,,,,1
66473,SG#HSI  RP2304D,Callable Bull/Bear Contracts,,"10,000",,,27/04/2023,,,,,,,Y,,,,,1
66479,SG#ANTASRP2303A,Callable Bull/Bear Contracts,,"2,000",,,29/03/2023,,,,,,,Y,,,,,1
66480,SG#BYD  RP2304L,Callable Bull/Bear Contracts,,"25,000",,,28/04/2023,,,,,,,Y,,,,,1
66498,SG#CSHCLRP2212A,Callable Bull/Bear Contracts,,"2,500",,,30/12/2022,,,,,,,Y,,,,,1
66501,JP#HSI  RP2212B,Callable Bull/Bear Contracts,,"10,000",,NLJPMSP0IB53,29/12/2022,,,,,,,Y,,,,,1
66505,JP#HSI  RP2212C,Callable Bull/Bear Contracts,,"10,000",,NLJPMSP0IB20,29/12/2022,,,,,,,Y,,,,,1
66511,JP#HSI  RP2212D,Callable Bull/Bear Contracts,,"10,000",,NLJPMSP0IAY1,29/12/2022,,,,,,,Y,,,,,1
66518,GS#HKEX RP2312A,Callable Bull/Bear Contracts,,"5,000",,,21/12/2023,,,,,,,Y,,,,,1
66532,SG#CSHCLRP2212B,Callable Bull/Bear Contracts,,"2,500",,,30/12/2022,,,,,,,Y,,,,,1
66545,CS#HKEX RP2305C,Callable Bull/Bear Contracts,,"5,000",,CH1203339440,04/05/2023,,,,,,,Y,,,,,1
66552,CS#HSI  RP2302E,Callable Bull/Bear Contracts,,"10,000",,CH1203339481,27/02/2023,,,,,,,Y,,,,,1
66584,UB#HSI  RP2303L,Callable Bull/Bear Contracts,,"10,000",,CH1195729095,30/03/2023,,,,,,,Y,,,,,1
66585,UB#BYD  RP2307B,Callable Bull/Bear Contracts,,"25,000",,CH1195728881,18/07/2023,,,,,,,Y,,,,,1
66593,HS#BYD  RP2305E,Callable Bull/Bear Contracts,,"25,000",,HK0000875457,03/05/2023,,,,,,,Y,,,,,1
66596,HS#HSI  RP2301E,Callable Bull/Bear Contracts,,"10,000",,HK0000875473,30/01/2023,,,,,,,Y,,,,,1
66605,VT#HKEX RP2302D,Callable Bull/Bear Contracts,,"5,000",,CH1206726064,24/02/2023,,,,,,,Y,,,,,1
66613,GJ#HSI  RP2304A,Callable Bull/Bear Contracts,,"10,000",,HK0000875481,27/04/2023,,,,,,,Y,,,,,1
66614,GJ#HSI  RP2304B,Callable Bull/Bear Contracts,,"10,000",,HK0000875499,27/04/2023,,,,,,,Y,,,,,1
66621,SG#HKEX RP2302C,Callable Bull/Bear Contracts,,"5,000",,,17/02/2023,,,,,,,Y,,,,,1
66625,UB#CRPOWRC2309A,Callable Bull/Bear Contracts,,"10,000",,CH1185738932,08/09/2023,,,,,,,Y,,,,,1
66646,UB#CSHCLRP2212A,Callable Bull/Bear Contracts,,"2,500",,CH1155443943,29/12/2022,,,,,,,Y,,,,,1
66660,SG#XIAMIRP2306A,Callable Bull/Bear Contracts,,"2,000",,,30/06/2023,,,,,,,Y,,,,,1
66662,BI#HSI  RP2212T,Callable Bull/Bear Contracts,,"10,000",,HK0000830916,29/12/2022,,,,,,,Y,,,,,1
66671,BI#HSI  RP2212U,Callable Bull/Bear Contracts,,"10,000",,HK0000830924,29/12/2022,,,,,,,Y,,,,,1
66676,BI#HSI  RP2212V,Callable Bull/Bear Contracts,,"10,000",,HK0000830932,29/12/2022,,,,,,,Y,,,,,1
66677,BI#HSI  RP2212J,Callable Bull/Bear Contracts,,"10,000",,HK0000830940,29/12/2022,,,,,,,Y,,,,,1
66685,JP#HKEX RP2304A,Callable Bull/Bear Contracts,,"5,000",,NLJPMSP0IBA9,14/04/2023,,,,,,,Y,,,,,1
66688,BI#HKEX RP2212J,Callable Bull/Bear Contracts,,"5,000",,HK0000830999,30/12/2022,,,,,,,Y,,,,,1
66690,UB#SMIC RP2307A,Callable Bull/Bear Contracts,,"2,500",,CH1185739211,21/07/2023,,,,,,,Y,,,,,1
66696,HS#KUASORP2310A,Callable Bull/Bear Contracts,,"10,000",,HK0000875549,18/10/2023,,,,,,,Y,,,,,1
66699,BP#HKEX RP2211G,Callable Bull/Bear Contracts,,"50,000",,NLBNPHK13UF4,29/11/2022,,,,,,,Y,,,,,1
66700,BP#TENCTRP2212M,Callable Bull/Bear Contracts,,"50,000",,NLBNPHK13UG2,29/12/2022,,,,,,,Y,,,,,1
66705,BP#TENCTRP2211F,Callable Bull/Bear Contracts,,"50,000",,NLBNPHK13UH0,29/11/2022,,,,,,,Y,,,,,1
